T2HK flux file produced from /disk2/usr5/kachulis/T2HK_Ntuples/anumode/*.root on Sun Feb 22 04:25:51 2015
E(GeV)  nu_e   nu_e_bar   nu_mu   nu_mu_bar   nu_tau   nu_tau_bar (GeV 1.0e20 POT m^2)^-1
3.385   2.8857e+06   4.19245e+06   3.96527e+07   7.44557e+07   0   0
3.395   2.86135e+06   4.1373e+06   3.95016e+07   7.48935e+07   0   0
3.405   2.84285e+06   4.08266e+06   3.91314e+07   7.54158e+07   0   0
3.415   2.82984e+06   4.03698e+06   3.88664e+07   7.57503e+07   0   0
3.425   2.82224e+06   4.00166e+06   3.87608e+07   7.58516e+07   0   0
3.435   2.82006e+06   3.97672e+06   3.88146e+07   7.57197e+07   0   0
3.445   2.82329e+06   3.96213e+06   3.90278e+07   7.53545e+07   0   0
3.455   2.83048e+06   3.9557e+06   3.9363e+07   7.48064e+07   0   0
3.465   2.83286e+06   3.94407e+06   3.95967e+07   7.43765e+07   0   0
3.475   2.82898e+06   3.92502e+06   3.96916e+07   7.4115e+07   0   0
3.485   2.81883e+06   3.89856e+06   3.96477e+07   7.4022e+07   0   0
3.495   2.80242e+06   3.86468e+06   3.9465e+07   7.40973e+07   0   0
3.505   2.78074e+06   3.82504e+06   3.91672e+07   7.42586e+07   0   0
3.515   2.75973e+06   3.78957e+06   3.88959e+07   7.4011e+07   0   0
3.525   2.74039e+06   3.75993e+06   3.86748e+07   7.32721e+07   0   0
3.535   2.72272e+06   3.73612e+06   3.85039e+07   7.20418e+07   0   0
3.545   2.70672e+06   3.71813e+06   3.83833e+07   7.03201e+07   0   0
3.555   2.69184e+06   3.70396e+06   3.82706e+07   6.8275e+07   0   0
3.565   2.67484e+06   3.68151e+06   3.79126e+07   6.6914e+07   0   0
3.575   2.65517e+06   3.64878e+06   3.72669e+07   6.6405e+07   0   0
3.585   2.63283e+06   3.60575e+06   3.63336e+07   6.6748e+07   0   0
3.595   2.60782e+06   3.55243e+06   3.51128e+07   6.7943e+07   0   0
3.605   2.58035e+06   3.49168e+06   3.36725e+07   6.97957e+07   0   0
3.615   2.55168e+06   3.44064e+06   3.24216e+07   7.11394e+07   0   0
3.625   2.52201e+06   3.40215e+06   3.14284e+07   7.17797e+07   0   0
3.635   2.49135e+06   3.37623e+06   3.06929e+07   7.17167e+07   0   0
3.645   2.4597e+06   3.36287e+06   3.0215e+07   7.09503e+07   0   0
3.655   2.429e+06   3.35924e+06   3.00154e+07   6.96095e+07   0   0
3.665   2.41092e+06   3.34836e+06   3.02186e+07   6.84676e+07   0   0
3.675   2.4074e+06   3.3274e+06   3.08452e+07   6.76534e+07   0   0
3.685   2.41844e+06   3.29635e+06   3.18952e+07   6.7167e+07   0   0
3.695   2.44404e+06   3.25522e+06   3.33686e+07   6.70084e+07   0   0
3.705   2.4802e+06   3.20661e+06   3.51123e+07   6.71349e+07   0   0
3.715   2.50281e+06   3.16613e+06   3.6207e+07   6.72901e+07   0   0
3.725   2.50788e+06   3.1364e+06   3.64995e+07   6.74314e+07   0   0
3.735   2.49539e+06   3.11742e+06   3.59899e+07   6.75588e+07   0   0
3.745   2.46536e+06   3.10917e+06   3.4678e+07   6.76723e+07   0   0
3.755   2.42097e+06   3.10878e+06   3.27388e+07   6.77535e+07   0   0
3.765   2.38142e+06   3.0989e+06   3.12212e+07   6.76927e+07   0   0
3.775   2.34992e+06   3.07663e+06   3.02999e+07   6.74717e+07   0   0
3.785   2.32647e+06   3.04199e+06   2.99751e+07   6.70904e+07   0   0
3.795   2.31105e+06   2.99497e+06   3.02466e+07   6.65488e+07   0   0
3.805   2.30207e+06   2.93844e+06   3.0989e+07   6.58915e+07   0   0
3.815   2.28987e+06   2.88967e+06   3.14491e+07   6.53864e+07   0   0
3.825   2.27284e+06   2.85154e+06   3.15014e+07   6.50781e+07   0   0
3.835   2.25098e+06   2.82404e+06   3.11458e+07   6.49665e+07   0   0
3.845   2.22429e+06   2.80718e+06   3.03825e+07   6.50517e+07   0   0
3.855   2.19439e+06   2.79885e+06   2.93226e+07   6.52927e+07   0   0
3.865   2.17096e+06   2.78646e+06   2.86344e+07   6.5444e+07   0   0
3.875   2.15561e+06   2.76789e+06   2.84291e+07   6.54645e+07   0   0
3.885   2.14836e+06   2.74315e+06   2.87067e+07   6.53543e+07   0   0
3.895   2.1492e+06   2.71225e+06   2.94672e+07   6.51134e+07   0   0
3.905   2.15608e+06   2.67606e+06   3.05991e+07   6.47801e+07   0   0
3.915   2.15674e+06   2.63995e+06   3.14329e+07   6.45843e+07   0   0
3.925   2.14912e+06   2.60479e+06   3.18571e+07   6.45642e+07   0   0
3.935   2.13323e+06   2.5706e+06   3.18716e+07   6.47199e+07   0   0
3.945   2.10908e+06   2.53737e+06   3.14766e+07   6.50513e+07   0   0
3.955   2.07832e+06   2.50521e+06   3.0714e+07   6.54885e+07   0   0
3.965   2.05105e+06   2.47472e+06   2.98373e+07   6.56117e+07   0   0
3.975   2.02894e+06   2.44602e+06   2.88885e+07   6.53509e+07   0   0
3.985   2.01198e+06   2.41909e+06   2.78676e+07   6.47062e+07   0   0
3.995   2.00019e+06   2.39395e+06   2.67746e+07   6.36775e+07   0   0
4.005   1.99384e+06   2.37156e+06   2.56944e+07   6.2366e+07   0   0
4.015   1.99467e+06   2.35771e+06   2.51355e+07   6.13794e+07   0   0
4.025   2.00297e+06   2.35337e+06   2.51826e+07   6.08189e+07   0   0
4.035   2.01875e+06   2.35853e+06   2.58358e+07   6.06845e+07   0   0
4.045   2.04199e+06   2.37321e+06   2.70951e+07   6.09763e+07   0   0
4.055   2.07063e+06   2.39536e+06   2.88059e+07   6.1616e+07   0   0
4.065   2.09222e+06   2.41277e+06   3.00409e+07   6.21353e+07   0   0
4.075   2.10468e+06   2.42338e+06   3.06457e+07   6.24561e+07   0   0
4.085   2.10801e+06   2.42721e+06   3.06203e+07   6.25784e+07   0   0
4.095   2.10221e+06   2.42425e+06   2.99646e+07   6.25021e+07   0   0
4.105   2.0871e+06   2.41326e+06   2.87883e+07   6.22365e+07   0   0
4.115   2.06154e+06   2.38679e+06   2.77494e+07   6.18367e+07   0   0
4.125   2.02534e+06   2.34358e+06   2.69578e+07   6.13119e+07   0   0
4.135   1.97851e+06   2.28365e+06   2.64133e+07   6.0662e+07   0   0
4.145   1.92105e+06   2.20698e+06   2.6116e+07   5.98872e+07   0   0
4.155   1.85667e+06   2.11876e+06   2.60297e+07   5.90433e+07   0   0
4.165   1.80775e+06   2.05006e+06   2.59374e+07   5.8467e+07   0   0
4.175   1.778e+06   2.00605e+06   2.5803e+07   5.82142e+07   0   0
4.185   1.76742e+06   1.98673e+06   2.56265e+07   5.8285e+07   0   0
4.195   1.77602e+06   1.99211e+06   2.54078e+07   5.86794e+07   0   0
4.205   1.80135e+06   2.01878e+06   2.5177e+07   5.93268e+07   0   0
4.215   1.82878e+06   2.04626e+06   2.51139e+07   5.98044e+07   0   0
4.225   1.85586e+06   2.07114e+06   2.52484e+07   6.00416e+07   0   0
4.235   1.88261e+06   2.09344e+06   2.55807e+07   6.00385e+07   0   0
4.245   1.90901e+06   2.11314e+06   2.61107e+07   5.9795e+07   0   0
4.255   1.93281e+06   2.12804e+06   2.67665e+07   5.93306e+07   0   0
4.265   1.94038e+06   2.12483e+06   2.71176e+07   5.87627e+07   0   0
4.275   1.92947e+06   2.10131e+06   2.70922e+07   5.81106e+07   0   0
4.285   1.90007e+06   2.05747e+06   2.66902e+07   5.73744e+07   0   0
4.295   1.85218e+06   1.99331e+06   2.59117e+07   5.65542e+07   0   0
4.305   1.78974e+06   1.91354e+06   2.48554e+07   5.5693e+07   0   0
4.315   1.73645e+06   1.84639e+06   2.41135e+07   5.50505e+07   0   0
4.325   1.69622e+06   1.79657e+06   2.37849e+07   5.46699e+07   0   0
4.335   1.66908e+06   1.76407e+06   2.38696e+07   5.45512e+07   0   0
4.345   1.65501e+06   1.7489e+06   2.43675e+07   5.46943e+07   0   0
4.355   1.65212e+06   1.74848e+06   2.51894e+07   5.50468e+07   0   0
4.365   1.649e+06   1.74738e+06   2.57999e+07   5.5294e+07   0   0
4.375   1.64376e+06   1.74301e+06   2.61098e+07   5.53832e+07   0   0
4.385   1.6364e+06   1.73538e+06   2.61191e+07   5.53146e+07   0   0
4.395   1.62691e+06   1.72449e+06   2.58278e+07   5.5088e+07   0   0
4.405   1.61612e+06   1.71092e+06   2.52702e+07   5.47168e+07   0   0
4.415   1.60899e+06   1.69809e+06   2.46529e+07   5.42798e+07   0   0
4.425   1.60633e+06   1.6866e+06   2.40102e+07   5.37903e+07   0   0
4.435   1.60816e+06   1.67642e+06   2.33422e+07   5.32482e+07   0   0
4.445   1.61446e+06   1.66757e+06   2.26488e+07   5.26536e+07   0   0
4.455   1.62358e+06   1.65963e+06   2.19607e+07   5.20175e+07   0   0
4.465   1.62551e+06   1.65015e+06   2.14616e+07   5.14066e+07   0   0
4.475   1.61858e+06   1.63871e+06   2.11822e+07   5.08321e+07   0   0
4.485   1.60279e+06   1.62532e+06   2.11224e+07   5.02939e+07   0   0
4.495   1.57815e+06   1.60997e+06   2.12823e+07   4.97921e+07   0   0
4.505   1.54654e+06   1.59318e+06   2.16059e+07   4.93361e+07   0   0
4.515   1.51936e+06   1.57805e+06   2.17578e+07   4.89829e+07   0   0
4.525   1.49849e+06   1.56509e+06   2.16819e+07   4.8742e+07   0   0
4.535   1.48394e+06   1.55432e+06   2.13784e+07   4.86134e+07   0   0
4.545   1.47571e+06   1.54572e+06   2.08472e+07   4.85972e+07   0   0
4.555   1.47271e+06   1.53807e+06   2.01483e+07   4.86811e+07   0   0
4.565   1.46845e+06   1.52408e+06   1.9641e+07   4.87932e+07   0   0
4.575   1.46185e+06   1.50251e+06   1.93855e+07   4.89214e+07   0   0
4.585   1.45291e+06   1.47336e+06   1.93815e+07   4.90656e+07   0   0
4.595   1.44162e+06   1.43665e+06   1.96293e+07   4.92259e+07   0   0
4.605   1.42923e+06   1.39522e+06   2.00633e+07   4.93695e+07   0   0
4.615   1.42306e+06   1.36627e+06   2.02913e+07   4.9299e+07   0   0
4.625   1.42435e+06   1.35264e+06   2.0248e+07   4.89817e+07   0   0
4.635   1.43309e+06   1.35436e+06   1.99334e+07   4.84175e+07   0   0
4.645   1.44929e+06   1.3714e+06   1.93474e+07   4.76064e+07   0   0
4.655   1.47022e+06   1.40003e+06   1.85826e+07   4.65993e+07   0   0
4.665   1.47956e+06   1.41774e+06   1.81942e+07   4.57009e+07   0   0
4.675   1.47458e+06   1.42078e+06   1.82746e+07   4.49621e+07   0   0
4.685   1.45528e+06   1.40916e+06   1.8824e+07   4.43827e+07   0   0
4.695   1.42167e+06   1.38287e+06   1.98422e+07   4.39629e+07   0   0
4.705   1.37671e+06   1.34423e+06   2.11975e+07   4.36841e+07   0   0
4.715   1.3382e+06   1.30721e+06   2.20989e+07   4.34359e+07   0   0
4.725   1.30912e+06   1.27413e+06   2.24145e+07   4.31998e+07   0   0
4.735   1.28945e+06   1.24498e+06   2.21443e+07   4.29758e+07   0   0
4.745   1.27921e+06   1.21978e+06   2.12884e+07   4.27639e+07   0   0
4.755   1.27701e+06   1.19848e+06   1.99715e+07   4.25543e+07   0   0
4.765   1.27455e+06   1.18093e+06   1.89425e+07   4.22881e+07   0   0
4.775   1.27045e+06   1.16708e+06   1.83262e+07   4.19554e+07   0   0
4.785   1.2647e+06   1.15695e+06   1.81227e+07   4.15562e+07   0   0
4.795   1.25732e+06   1.15053e+06   1.83319e+07   4.10906e+07   0   0
4.805   1.24829e+06   1.14754e+06   1.88812e+07   4.05766e+07   0   0
4.815   1.23767e+06   1.14631e+06   1.93358e+07   4.01231e+07   0   0
4.825   1.22548e+06   1.14655e+06   1.96229e+07   3.97482e+07   0   0
4.835   1.21169e+06   1.14827e+06   1.97426e+07   3.94518e+07   0   0
4.845   1.19633e+06   1.15146e+06   1.9695e+07   3.92341e+07   0   0
4.855   1.18077e+06   1.15569e+06   1.95052e+07   3.90935e+07   0   0
4.865   1.17338e+06   1.15831e+06   1.93245e+07   3.90213e+07   0   0
4.875   1.17555e+06   1.15888e+06   1.91782e+07   3.90161e+07   0   0
4.885   1.18728e+06   1.1574e+06   1.90663e+07   3.9078e+07   0   0
4.895   1.20857e+06   1.15388e+06   1.89888e+07   3.92068e+07   0   0
4.905   1.23609e+06   1.14817e+06   1.893e+07   3.93619e+07   0   0
4.915   1.24989e+06   1.13951e+06   1.87959e+07   3.9299e+07   0   0
4.925   1.24663e+06   1.12777e+06   1.85709e+07   3.89773e+07   0   0
4.935   1.22632e+06   1.11294e+06   1.8255e+07   3.83969e+07   0   0
4.945   1.18896e+06   1.09502e+06   1.78481e+07   3.75577e+07   0   0
4.955   1.13825e+06   1.07475e+06   1.73849e+07   3.65129e+07   0   0
4.965   1.09644e+06   1.05642e+06   1.70731e+07   3.55812e+07   0   0
4.975   1.06723e+06   1.04076e+06   1.69475e+07   3.48159e+07   0   0
4.985   1.05062e+06   1.02778e+06   1.70079e+07   3.4217e+07   0   0
4.995   1.04662e+06   1.01746e+06   1.72544e+07   3.37843e+07   0   0
5.005   1.05385e+06   1.00951e+06   1.76511e+07   3.35124e+07   0   0
5.015   1.06401e+06   1.00205e+06   1.79816e+07   3.33669e+07   0   0
5.025   1.07573e+06   994772   1.821e+07   3.33424e+07   0   0
5.035   1.089e+06   987679   1.83363e+07   3.34387e+07   0   0
5.045   1.10383e+06   980768   1.83605e+07   3.36559e+07   0   0
5.055   1.11911e+06   974259   1.8277e+07   3.39473e+07   0   0
5.065   1.12818e+06   969464   1.80525e+07   3.40333e+07   0   0
5.075   1.12993e+06   966602   1.76813e+07   3.38671e+07   0   0
5.085   1.12435e+06   965672   1.71636e+07   3.34489e+07   0   0
5.095   1.11146e+06   966675   1.64992e+07   3.27785e+07   0   0
5.105   1.09292e+06   969065   1.57637e+07   3.19221e+07   0   0
5.115   1.07881e+06   969569   1.54097e+07   3.12758e+07   0   0
5.125   1.07079e+06   967640   1.55128e+07   3.09056e+07   0   0
5.135   1.06887e+06   963279   1.60729e+07   3.08115e+07   0   0
5.145   1.07305e+06   956486   1.709e+07   3.09936e+07   0   0
5.155   1.081e+06   946905   1.84413e+07   3.13628e+07   0   0
5.165   1.07876e+06   932402   1.93889e+07   3.13848e+07   0   0
5.175   1.06399e+06   912622   1.981e+07   3.09707e+07   0   0
5.185   1.03671e+06   887563   1.97045e+07   3.01205e+07   0   0
5.195   996900   857228   1.90725e+07   2.88342e+07   0   0
5.205   948169   823787   1.80114e+07   2.72341e+07   0   0
5.215   912091   800278   1.7106e+07   2.60545e+07   0   0
5.225   892262   788874   1.6454e+07   2.54179e+07   0   0
5.235   888682   789573   1.60551e+07   2.53241e+07   0   0
5.245   901352   802377   1.59096e+07   2.57733e+07   0   0
5.255   927338   824602   1.5973e+07   2.66543e+07   0   0
5.265   949040   840155   1.59796e+07   2.73007e+07   0   0
5.275   963524   846353   1.5885e+07   2.76016e+07   0   0
5.285   970791   843196   1.56893e+07   2.75568e+07   0   0
5.295   970839   830684   1.53925e+07   2.71665e+07   0   0
5.305   964517   810384   1.50134e+07   2.64753e+07   0   0
5.315   956905   791700   1.46652e+07   2.57515e+07   0   0
5.325   948848   776200   1.43668e+07   2.50398e+07   0   0
5.335   940348   763883   1.4118e+07   2.43402e+07   0   0
5.345   931405   754750   1.39191e+07   2.36527e+07   0   0
5.355   922399   748908   1.37698e+07   2.29867e+07   0   0
5.365   915617   747002   1.36705e+07   2.23979e+07   0   0
5.375   911440   749138   1.3621e+07   2.18958e+07   0   0
5.385   909869   755316   1.36213e+07   2.14802e+07   0   0
5.395   910903   765538   1.36715e+07   2.11513e+07   0   0
5.405   913477   778220   1.37587e+07   2.09058e+07   0   0
5.415   911192   783872   1.38051e+07   2.07254e+07   0   0
5.425   902982   780912   1.3798e+07   2.06069e+07   0   0
5.435   888848   769339   1.37373e+07   2.05504e+07   0   0
5.445   868789   749154   1.3623e+07   2.05558e+07   0   0
5.455   844466   722401   1.34759e+07   2.06109e+07   0   0
5.465   825837   701349   1.34209e+07   2.06415e+07   0   0
5.475   814562   688043   1.34788e+07   2.06355e+07   0   0
5.485   810641   682483   1.36495e+07   2.05929e+07   0   0
5.495   814075   684669   1.39332e+07   2.05135e+07   0   0
5.505   822477   692189   1.42977e+07   2.0394e+07   0   0
5.515   821531   690578   1.4551e+07   2.02133e+07   0   0
5.525   808850   677425   1.46611e+07   1.99678e+07   0   0
5.535   784435   652730   1.46279e+07   1.96576e+07   0   0
5.545   748285   616492   1.44514e+07   1.92827e+07   0   0
5.555   704164   572420   1.41426e+07   1.88662e+07   0   0
5.565   674646   542753   1.37661e+07   1.85465e+07   0   0
5.575   663493   531199   1.3333e+07   1.83469e+07   0   0
5.585   670707   537757   1.28431e+07   1.82674e+07   0   0
5.595   696286   562429   1.22965e+07   1.83078e+07   0   0
5.605   735823   600905   1.174e+07   1.84373e+07   0   0
5.615   762867   627336   1.14541e+07   1.84702e+07   0   0
5.625   773009   637414   1.14857e+07   1.83755e+07   0   0
5.635   766249   631138   1.18348e+07   1.81532e+07   0   0
5.645   742588   608509   1.25013e+07   1.78033e+07   0   0
5.655   705373   572757   1.34002e+07   1.73565e+07   0   0
5.665   674685   543259   1.40204e+07   1.69966e+07   0   0
5.675   653872   523247   1.42769e+07   1.67542e+07   0   0
5.685   642934   512720   1.41697e+07   1.66292e+07   0   0
5.695   641871   511678   1.36986e+07   1.66218e+07   0   0
5.705   649331   518912   1.29347e+07   1.67019e+07   0   0
5.715   657200   527171   1.23027e+07   1.66897e+07   0   0
5.725   664128   535246   1.18736e+07   1.65552e+07   0   0
5.735   670113   543137   1.16473e+07   1.62984e+07   0   0
5.745   675157   550844   1.16238e+07   1.59193e+07   0   0
5.755   679428   557917   1.17932e+07   1.5448e+07   0   0
5.765   683945   561656   1.20961e+07   1.5064e+07   0   0
5.775   688879   561611   1.25224e+07   1.47974e+07   0   0
5.785   694228   557781   1.30723e+07   1.46482e+07   0   0
5.795   699994   550168   1.37456e+07   1.46164e+07   0   0
5.805   705544   539274   1.44864e+07   1.46791e+07   0   0
5.815   707095   528116   1.49586e+07   1.47e+07   0   0
5.825   704014   517198   1.5106e+07   1.46563e+07   0   0
5.835   696303   506519   1.49288e+07   1.45479e+07   0   0
5.845   683960   496080   1.44269e+07   1.43749e+07   0   0
5.855   667234   485779   1.36607e+07   1.41451e+07   0   0
5.865   647606   475013   1.29929e+07   1.39056e+07   0   0
5.875   625324   463680   1.24837e+07   1.36643e+07   0   0
5.885   600388   451780   1.21332e+07   1.34211e+07   0   0
5.895   572797   439313   1.19414e+07   1.3176e+07   0   0
5.905   545948   428022   1.18855e+07   1.29392e+07   0   0
5.915   540221   428362   1.18284e+07   1.27717e+07   0   0
5.925   559010   442075   1.17473e+07   1.26834e+07   0   0
5.935   602318   469161   1.16422e+07   1.26745e+07   0   0
5.945   670142   509620   1.1513e+07   1.27449e+07   0   0
5.955   754749   558788   1.1371e+07   1.2874e+07   0   0
5.965   809725   588680   1.12828e+07   1.29385e+07   0   0
5.975   827335   594631   1.12595e+07   1.29178e+07   0   0
5.985   807579   576642   1.13011e+07   1.28118e+07   0   0
5.995   750456   534713   1.14077e+07   1.26206e+07   0   0
6.005   663260   473907   1.15443e+07   1.23544e+07   0   0
6.015   589745   424600   1.1502e+07   1.20746e+07   0   0
6.025   537206   391856   1.12461e+07   1.17916e+07   0   0
6.035   505641   375676   1.07765e+07   1.15053e+07   0   0
6.045   495050   376058   1.00932e+07   1.12157e+07   0   0
6.055   503272   391030   9.27066e+06   1.09274e+07   0   0
6.065   517325   408753   8.75575e+06   1.0668e+07   0   0
6.075   535048   427253   8.62292e+06   1.0442e+07   0   0
6.085   556440   446529   8.87216e+06   1.02496e+07   0   0
6.095   581501   466583   9.50349e+06   1.00907e+07   0   0
6.105   607703   485993   1.04425e+07   9.97055e+06   0   0
6.115   619877   496228   1.12431e+07   9.92084e+06   0   0
6.125   615494   495866   1.18309e+07   9.94686e+06   0   0
6.135   594556   484908   1.22059e+07   1.00486e+07   0   0
6.145   557061   463354   1.23681e+07   1.02261e+07   0   0
6.155   507582   433258   1.23272e+07   1.0453e+07   0   0
6.165   473557   406941   1.21422e+07   1.05716e+07   0   0
6.175   459556   386458   1.18226e+07   1.05556e+07   0   0
6.185   465581   371808   1.13687e+07   1.04049e+07   0   0
6.195   491632   362992   1.07803e+07   1.01197e+07   0   0
6.205   533043   359263   1.0095e+07   9.72852e+06   0   0
6.215   561827   356148   9.53761e+06   9.40308e+06   0   0
6.225   573321   352901   9.14561e+06   9.17203e+06   0   0
6.235   567524   349521   8.91902e+06   9.03535e+06   0   0
6.245   544436   346009   8.85783e+06   8.99307e+06   0   0
6.255   507691   342603   8.94856e+06   9.02629e+06   0   0
6.265   479089   340734   9.11035e+06   9.02181e+06   0   0
6.275   462264   340642   9.32972e+06   8.96076e+06   0   0
6.285   457217   342324   9.60667e+06   8.84312e+06   0   0
6.295   463947   345783   9.9412e+06   8.66892e+06   0   0
6.305   479926   350590   1.02909e+07   8.45189e+06   0   0
6.315   489989   354179   1.04012e+07   8.27457e+06   0   0
6.325   491608   356123   1.02298e+07   8.15071e+06   0   0
6.335   484782   356421   9.77654e+06   8.08032e+06   0   0
6.345   469513   355075   9.04154e+06   8.06339e+06   0   0
6.355   448327   352609   8.10727e+06   8.08982e+06   0   0
6.365   436388   352184   7.46877e+06   8.09899e+06   0   0
6.375   436225   354325   7.20853e+06   8.08081e+06   0   0
6.385   447837   359032   7.32658e+06   8.03527e+06   0   0
6.395   471224   366306   7.82289e+06   7.96237e+06   0   0
6.405   502751   374574   8.60727e+06   7.87454e+06   0   0
6.415   520612   374404   9.13848e+06   7.84635e+06   0   0
6.425   521171   364224   9.32631e+06   7.89022e+06   0   0
6.435   504428   344033   9.17076e+06   8.00616e+06   0   0
6.445   470383   313832   8.67183e+06   8.19417e+06   0   0
6.455   423566   276409   7.90998e+06   8.42936e+06   0   0
6.465   391148   248493   7.36791e+06   8.56243e+06   0   0
6.475   377659   232871   7.12607e+06   8.5685e+06   0   0
6.485   383099   229544   7.18448e+06   8.44758e+06   0   0
6.495   407466   238512   7.54311e+06   8.19965e+06   0   0
6.505   446535   257731   8.14713e+06   7.85072e+06   0   0
6.515   474941   274937   8.66741e+06   7.55673e+06   0   0
6.525   488456   288086   9.0491e+06   7.34368e+06   0   0
6.535   487080   297179   9.2922e+06   7.21156e+06   0   0
6.545   470814   302216   9.3967e+06   7.16038e+06   0   0
6.555   443321   303724   9.37151e+06   7.17809e+06   0   0
6.565   426589   304876   9.27001e+06   7.19242e+06   0   0
6.575   424283   306200   9.1011e+06   7.19131e+06   0   0
6.585   436402   307696   8.86478e+06   7.17478e+06   0   0
6.595   462946   309364   8.56105e+06   7.14282e+06   0   0
6.605   499788   311157   8.20687e+06   7.09928e+06   0   0
6.615   522165   312800   7.90395e+06   7.06724e+06   0   0
6.625   525950   314246   7.66927e+06   7.05056e+06   0   0
6.635   511143   315495   7.50281e+06   7.04923e+06   0   0
6.645   477744   316546   7.40458e+06   7.06325e+06   0   0
6.655   430057   316940   7.37188e+06   7.08875e+06   0   0
6.665   393908   313906   7.38853e+06   7.10244e+06   0   0
6.675   373601   306985   7.45183e+06   7.10044e+06   0   0
6.685   369137   296175   7.56179e+06   7.08277e+06   0   0
6.695   380514   281477   7.71841e+06   7.04941e+06   0   0
6.705   404337   263963   7.90511e+06   6.99959e+06   0   0
6.715   420226   250062   8.02248e+06   6.92866e+06   0   0
6.725   424785   240847   8.05394e+06   6.83584e+06   0   0
6.735   418014   236317   7.99951e+06   6.72113e+06   0   0
6.745   399912   236472   7.85917e+06   6.58453e+06   0   0
6.755   372748   240632   7.6445e+06   6.42971e+06   0   0
6.765   350129   244708   7.42488e+06   6.27873e+06   0   0
6.775   334323   248020   7.21187e+06   6.13524e+06   0   0
6.785   325329   250568   7.00547e+06   5.99927e+06   0   0
6.795   323148   252351   6.80569e+06   5.87079e+06   0   0
6.805   327189   253635   6.62622e+06   5.76033e+06   0   0
6.815   333910   256010   6.54927e+06   5.73089e+06   0   0
6.825   342719   259742   6.58855e+06   5.79299e+06   0   0
6.835   353618   264831   6.74405e+06   5.94663e+06   0   0
6.845   366606   271277   7.01577e+06   6.19179e+06   0   0
6.855   379820   277636   7.37719e+06   6.49606e+06   0   0
6.865   382075   275243   7.6691e+06   6.6648e+06   0   0
6.875   371509   262654   7.86498e+06   6.66557e+06   0   0
6.885   348121   239869   7.96483e+06   6.49838e+06   0   0
6.895   311911   206889   7.96864e+06   6.16322e+06   0   0
6.905   266757   167217   7.88881e+06   5.69419e+06   0   0
6.915   235928   141881   7.79975e+06   5.2958e+06   0   0
6.925   223300   134385   7.71383e+06   5.00215e+06   0   0
6.935   228874   144729   7.63106e+06   4.81322e+06   0   0
6.945   252650   172914   7.55145e+06   4.72902e+06   0   0
6.955   290889   214844   7.4684e+06   4.74508e+06   0   0
6.965   321165   245945   7.34247e+06   4.83457e+06   0   0
6.975   339738   262124   7.16705e+06   4.99301e+06   0   0
6.985   346609   263379   6.94216e+06   5.2204e+06   0   0
6.995   341778   249711   6.66779e+06   5.51675e+06   0   0
7.005   326981   223669   6.37698e+06   5.85134e+06   0   0
7.015   312642   200551   6.26789e+06   6.03992e+06   0   0
7.025   300498   182908   6.37356e+06   6.05176e+06   0   0
7.035   290549   170739   6.69399e+06   5.88689e+06   0   0
7.045   282794   164044   7.22918e+06   5.54528e+06   0   0
7.055   277579   162601   7.91604e+06   5.06491e+06   0   0
7.065   276975   165075   8.37609e+06   4.6735e+06   0   0
7.075   281329   171243   8.54625e+06   4.40901e+06   0   0
7.085   290639   181106   8.42651e+06   4.27145e+06   0   0
7.095   304906   194664   8.01688e+06   4.2608e+06   0   0
7.105   322463   210543   7.38055e+06   4.3567e+06   0   0
7.115   333306   220498   6.89666e+06   4.43687e+06   0   0
7.125   335768   223157   6.6284e+06   4.48094e+06   0   0
7.135   329849   218519   6.57576e+06   4.48889e+06   0   0
7.145   315549   206584   6.73876e+06   4.46075e+06   0   0
7.155   294575   188798   7.06897e+06   4.40203e+06   0   0
7.165   277173   173839   7.27593e+06   4.34599e+06   0   0
7.175   265050   163151   7.31121e+06   4.29818e+06   0   0
7.185   258207   156736   7.17483e+06   4.25858e+06   0   0
7.195   256643   154594   6.86678e+06   4.2272e+06   0   0
7.205   260162   156748   6.42791e+06   4.20112e+06   0   0
7.215   267587   163347   6.10331e+06   4.16277e+06   0   0
7.225   278722   174416   5.93383e+06   4.10924e+06   0   0
7.235   293566   189955   5.91948e+06   4.04053e+06   0   0
7.245   312119   209964   6.06026e+06   3.95664e+06   0   0
7.255   332371   232550   6.32105e+06   3.86311e+06   0   0
7.265   342254   246350   6.49116e+06   3.79329e+06   0   0
7.275   339758   249472   6.53549e+06   3.75273e+06   0   0
7.285   324883   241916   6.45404e+06   3.74142e+06   0   0
7.295   297628   223682   6.2468e+06   3.75937e+06   0   0
7.305   261003   197096   5.94418e+06   3.80116e+06   0   0
7.315   233070   176114   5.72852e+06   3.8343e+06   0   0
7.325   216837   163064   5.63022e+06   3.85336e+06   0   0
7.335   212306   157945   5.64929e+06   3.85835e+06   0   0
7.345   219475   160757   5.78572e+06   3.84927e+06   0   0
7.355   236048   169926   6.00845e+06   3.82443e+06   0   0
7.365   248240   176013   6.13112e+06   3.77373e+06   0   0
7.375   253754   177444   6.12267e+06   3.6955e+06   0   0
7.385   252589   174218   5.9831e+06   3.58972e+06   0   0
7.395   244745   166336   5.7124e+06   3.45641e+06   0   0
7.405   231468   154723   5.35247e+06   3.30949e+06   0   0
7.415   220224   144928   5.15463e+06   3.23258e+06   0   0
7.425   212259   137875   5.16077e+06   3.23959e+06   0   0
