T2HK flux file produced from /disk2/usr5/kachulis/T2HK_Ntuples/anumode/*.root on Sun Feb 22 04:25:51 2015
E(GeV)  nu_e   nu_e_bar   nu_mu   nu_mu_bar   nu_tau   nu_tau_bar (GeV 1.0e20 POT m^2)^-1
0.775   1.12146e+07   7.07664e+07   5.18475e+08   1.09153e+10   0   0
0.785   1.11431e+07   6.94053e+07   5.10355e+08   1.02905e+10   0   0
0.795   1.10516e+07   6.80845e+07   5.01564e+08   9.70871e+09   0   0
0.805   1.09448e+07   6.68043e+07   4.92185e+08   9.16659e+09   0   0
0.815   1.08509e+07   6.5566e+07   4.82718e+08   8.64348e+09   0   0
0.825   1.07748e+07   6.43697e+07   4.73246e+08   8.13595e+09   0   0
0.835   1.07164e+07   6.32154e+07   4.63769e+08   7.644e+09   0   0
0.845   1.06757e+07   6.21032e+07   4.54287e+08   7.16763e+09   0   0
0.855   1.06482e+07   6.10244e+07   4.4501e+08   6.70643e+09   0   0
0.865   1.06061e+07   5.9928e+07   4.3719e+08   6.25792e+09   0   0
0.875   1.05448e+07   5.88052e+07   4.31036e+08   5.82171e+09   0   0
0.885   1.04645e+07   5.76562e+07   4.26548e+08   5.39778e+09   0   0
0.895   1.0365e+07   5.64809e+07   4.23726e+08   4.98613e+09   0   0
0.905   1.02525e+07   5.5293e+07   4.22171e+08   4.58875e+09   0   0
0.915   1.0164e+07   5.41742e+07   4.19488e+08   4.2174e+09   0   0
0.925   1.01059e+07   5.3138e+07   4.15277e+08   3.87405e+09   0   0
0.935   1.00779e+07   5.21846e+07   4.0954e+08   3.5587e+09   0   0
0.945   1.00802e+07   5.13138e+07   4.02275e+08   3.27136e+09   0   0
0.955   1.01049e+07   5.05075e+07   3.93908e+08   3.01075e+09   0   0
0.965   1.01044e+07   4.96561e+07   3.86992e+08   2.7692e+09   0   0
0.975   1.00707e+07   4.87414e+07   3.81952e+08   2.54545e+09   0   0
0.985   1.0004e+07   4.77633e+07   3.78787e+08   2.33948e+09   0   0
0.995   9.90421e+06   4.67218e+07   3.77499e+08   2.15131e+09   0   0
1.005   9.778e+06   4.5632e+07   3.7767e+08   1.98084e+09   0   0
1.015   9.66541e+06   4.45837e+07   3.76803e+08   1.82755e+09   0   0
1.025   9.57312e+06   4.35917e+07   3.74482e+08   1.69135e+09   0   0
1.035   9.50113e+06   4.2656e+07   3.70708e+08   1.57225e+09   0   0
1.045   9.44945e+06   4.17768e+07   3.65479e+08   1.47024e+09   0   0
1.055   9.41728e+06   4.09409e+07   3.58912e+08   1.38434e+09   0   0
1.065   9.39998e+06   4.00696e+07   3.51698e+08   1.3087e+09   0   0
1.075   9.39678e+06   3.91498e+07   3.43953e+08   1.24235e+09   0   0
1.085   9.40766e+06   3.81816e+07   3.35677e+08   1.18527e+09   0   0
1.095   9.43263e+06   3.71649e+07   3.26871e+08   1.13746e+09   0   0
1.105   9.46485e+06   3.61152e+07   3.17962e+08   1.09773e+09   0   0
1.115   9.46327e+06   3.51245e+07   3.11526e+08   1.05877e+09   0   0
1.125   9.42106e+06   3.42082e+07   3.07992e+08   1.01938e+09   0   0
1.135   9.3382e+06   3.33663e+07   3.0736e+08   9.79546e+08   0   0
1.145   9.2147e+06   3.25988e+07   3.0963e+08   9.39281e+08   0   0
1.155   9.05838e+06   3.1899e+07   3.14106e+08   8.99168e+08   0   0
1.165   8.91617e+06   3.12264e+07   3.16615e+08   8.62744e+08   0   0
1.175   8.79587e+06   3.05744e+07   3.16461e+08   8.30596e+08   0   0
1.185   8.6975e+06   2.99429e+07   3.13643e+08   8.02725e+08   0   0
1.195   8.62105e+06   2.9332e+07   3.08163e+08   7.7913e+08   0   0
1.205   8.56752e+06   2.87465e+07   3.00419e+08   7.5918e+08   0   0
1.215   8.54287e+06   2.82162e+07   2.9281e+08   7.39076e+08   0   0
1.225   8.54809e+06   2.7746e+07   2.85737e+08   7.18184e+08   0   0
1.235   8.58318e+06   2.73359e+07   2.79198e+08   6.96506e+08   0   0
1.245   8.64815e+06   2.69859e+07   2.73194e+08   6.74041e+08   0   0
1.255   8.73283e+06   2.66758e+07   2.67751e+08   6.51098e+08   0   0
1.265   8.77627e+06   2.62848e+07   2.63024e+08   6.29525e+08   0   0
1.275   8.76831e+06   2.57928e+07   2.59038e+08   6.09632e+08   0   0
1.285   8.70896e+06   2.51997e+07   2.55794e+08   5.91419e+08   0   0
1.295   8.59821e+06   2.45055e+07   2.5329e+08   5.74885e+08   0   0
1.305   8.44639e+06   2.37349e+07   2.51378e+08   5.59985e+08   0   0
1.315   8.31554e+06   2.30355e+07   2.49153e+08   5.46448e+08   0   0
1.325   8.21598e+06   2.24319e+07   2.46466e+08   5.3423e+08   0   0
1.335   8.14772e+06   2.19242e+07   2.43316e+08   5.23329e+08   0   0
1.345   8.11076e+06   2.15122e+07   2.39703e+08   5.13745e+08   0   0
1.355   8.09916e+06   2.11855e+07   2.35688e+08   5.05135e+08   0   0
1.365   8.0774e+06   2.08799e+07   2.31641e+08   4.95423e+08   0   0
1.375   8.03954e+06   2.05848e+07   2.27623e+08   4.84266e+08   0   0
1.385   7.98559e+06   2.03002e+07   2.23632e+08   4.71663e+08   0   0
1.395   7.91555e+06   2.00261e+07   2.19671e+08   4.57614e+08   0   0
1.405   7.83485e+06   1.97592e+07   2.15778e+08   4.42474e+08   0   0
1.415   7.77621e+06   1.94799e+07   2.12199e+08   4.28371e+08   0   0
1.425   7.74506e+06   1.9185e+07   2.08975e+08   4.15661e+08   0   0
1.435   7.74141e+06   1.88745e+07   2.06105e+08   4.04342e+08   0   0
1.445   7.76525e+06   1.85484e+07   2.03589e+08   3.94415e+08   0   0
1.455   7.81001e+06   1.82138e+07   2.01411e+08   3.85848e+08   0   0
1.465   7.83619e+06   1.79132e+07   1.99468e+08   3.78447e+08   0   0
1.475   7.83722e+06   1.76537e+07   1.97746e+08   3.72179e+08   0   0
1.485   7.81308e+06   1.74354e+07   1.96242e+08   3.67044e+08   0   0
1.495   7.76379e+06   1.72582e+07   1.94958e+08   3.63042e+08   0   0
1.505   7.69266e+06   1.71128e+07   1.93794e+08   3.59773e+08   0   0
1.515   7.61963e+06   1.69428e+07   1.9215e+08   3.54836e+08   0   0
1.525   7.54802e+06   1.67389e+07   1.89928e+08   3.4783e+08   0   0
1.535   7.47783e+06   1.6501e+07   1.87127e+08   3.38755e+08   0   0
1.545   7.40905e+06   1.62292e+07   1.83747e+08   3.27612e+08   0   0
1.555   7.34361e+06   1.59332e+07   1.79864e+08   3.1496e+08   0   0
1.565   7.29294e+06   1.56714e+07   1.7594e+08   3.04167e+08   0   0
1.575   7.25895e+06   1.54536e+07   1.7205e+08   2.95794e+08   0   0
1.585   7.24165e+06   1.52796e+07   1.68194e+08   2.8984e+08   0   0
1.595   7.24103e+06   1.51496e+07   1.64373e+08   2.86305e+08   0   0
1.605   7.25336e+06   1.5055e+07   1.60652e+08   2.84779e+08   0   0
1.615   7.25618e+06   1.49445e+07   1.57431e+08   2.82797e+08   0   0
1.625   7.24575e+06   1.48096e+07   1.54777e+08   2.79948e+08   0   0
1.635   7.22207e+06   1.46503e+07   1.52689e+08   2.76233e+08   0   0
1.645   7.18514e+06   1.44666e+07   1.51167e+08   2.71651e+08   0   0
1.655   7.13609e+06   1.42651e+07   1.50118e+08   2.66354e+08   0   0
1.665   7.08173e+06   1.40855e+07   1.48985e+08   2.61253e+08   0   0
1.675   7.02319e+06   1.39345e+07   1.47676e+08   2.56498e+08   0   0
1.685   6.96046e+06   1.38121e+07   1.4619e+08   2.52091e+08   0   0
1.695   6.89356e+06   1.37182e+07   1.44527e+08   2.4803e+08   0   0
1.705   6.82582e+06   1.36496e+07   1.42774e+08   2.44306e+08   0   0
1.715   6.77735e+06   1.35872e+07   1.41458e+08   2.40849e+08   0   0
1.725   6.75149e+06   1.35276e+07   1.40666e+08   2.3765e+08   0   0
1.735   6.74825e+06   1.34708e+07   1.40398e+08   2.34708e+08   0   0
1.745   6.76763e+06   1.3417e+07   1.40654e+08   2.32023e+08   0   0
1.755   6.80368e+06   1.33602e+07   1.41259e+08   2.29567e+08   0   0
1.765   6.82068e+06   1.32655e+07   1.41169e+08   2.27171e+08   0   0
1.775   6.81269e+06   1.31271e+07   1.40209e+08   2.24807e+08   0   0
1.785   6.77971e+06   1.2945e+07   1.38379e+08   2.22474e+08   0   0
1.795   6.72173e+06   1.27193e+07   1.3568e+08   2.20173e+08   0   0
1.805   6.64456e+06   1.24619e+07   1.32368e+08   2.17832e+08   0   0
1.815   6.58292e+06   1.22456e+07   1.29993e+08   2.15022e+08   0   0
1.825   6.54261e+06   1.20822e+07   1.28811e+08   2.11672e+08   0   0
1.835   6.52363e+06   1.19719e+07   1.28823e+08   2.0778e+08   0   0
1.845   6.52598e+06   1.19147e+07   1.30028e+08   2.03348e+08   0   0
1.855   6.54489e+06   1.19018e+07   1.32103e+08   1.98506e+08   0   0
1.865   6.55179e+06   1.18816e+07   1.33099e+08   1.94044e+08   0   0
1.875   6.54189e+06   1.18455e+07   1.32692e+08   1.90093e+08   0   0
1.885   6.5152e+06   1.17933e+07   1.30881e+08   1.86652e+08   0   0
1.895   6.47173e+06   1.17252e+07   1.27668e+08   1.83722e+08   0   0
1.905   6.41565e+06   1.16436e+07   1.23344e+08   1.81256e+08   0   0
1.915   6.37208e+06   1.15634e+07   1.19673e+08   1.78971e+08   0   0
1.925   6.3452e+06   1.1487e+07   1.16949e+08   1.76822e+08   0   0
1.935   6.33501e+06   1.14146e+07   1.15171e+08   1.74807e+08   0   0
1.945   6.34152e+06   1.1346e+07   1.14339e+08   1.72928e+08   0   0
1.955   6.35942e+06   1.12803e+07   1.14336e+08   1.71154e+08   0   0
1.965   6.35692e+06   1.12119e+07   1.14451e+08   1.69312e+08   0   0
1.975   6.32874e+06   1.11396e+07   1.14565e+08   1.67372e+08   0   0
1.985   6.27486e+06   1.10635e+07   1.1468e+08   1.65334e+08   0   0
1.995   6.19529e+06   1.09836e+07   1.14794e+08   1.63198e+08   0   0
2.005   6.09625e+06   1.0901e+07   1.14857e+08   1.60922e+08   0   0
2.015   6.01505e+06   1.08223e+07   1.14561e+08   1.58243e+08   0   0
2.025   5.95792e+06   1.07487e+07   1.13855e+08   1.55118e+08   0   0
2.035   5.92486e+06   1.068e+07   1.12738e+08   1.51547e+08   0   0
2.045   5.91586e+06   1.06164e+07   1.11211e+08   1.47531e+08   0   0
